"state_fips","population"
"01","4997675"
"02","735951"
"04","7079203"
"05","3006309"
"06","39455353"
"08","5723176"
"09","3605330"
"10","981892"
"11","683154"
"12","21339762"
"13","10625615"
"15","1453498"
"16","1811617"
"17","12821813"
"18","6751340"
"19","3179090"
"20","2932099"
"21","4494141"
"22","4657305"
"23","1357046"
"24","6148545"
"25","6991852"
"26","10062512"
"27","5670472"
"28","2967023"
"29","6141534"
"30","1077978"
"31","1951480"
"32","3059238"
"33","1372175"
"34","9234024"
"35","2109366"
"36","20114745"
"37","10367022"
"38","773344"
"39","11769923"
"40","3948136"
"41","4207177"
"42","12970650"
"44","1091949"
"45","5078903"
"46","881785"
"47","6859497"
"48","28862581"
"49","3231370"
"50","641637"
"51","8582479"
"53","7617364"
"54","1801049"
"55","5871661"
"56","576641"
