"state_fips","stusps","state"
"36","NY","New York"
"34","NJ","New Jersey"
"33","NH","New Hampshire"
"09","CT","Connecticut"
"44","RI","Rhode Island"
"42","PA","Pennsylvania"
"23","ME","Maine"
"25","MA","Massachusetts"
"50","VT","Vermont"
"31","NE","Nebraska"
"27","MN","Minnesota"
"26","MI","Michigan"
"20","KS","Kansas"
"38","ND","North Dakota"
"17","IL","Illinois"
"39","OH","Ohio"
"46","SD","South Dakota"
"29","MO","Missouri"
"55","WI","Wisconsin"
"19","IA","Iowa"
"18","IN","Indiana"
"12","FL","Florida"
"24","MD","Maryland"
"54","WV","West Virginia"
"45","SC","South Carolina"
"37","NC","North Carolina"
"05","AR","Arkansas"
"28","MS","Mississippi"
"21","KY","Kentucky"
"13","GA","Georgia"
"01","AL","Alabama"
"22","LA","Louisiana"
"10","DE","Delaware"
"48","TX","Texas"
"51","VA","Virginia"
"11","DC","District of Columbia"
"40","OK","Oklahoma"
"47","TN","Tennessee"
"02","AK","Alaska"
"32","NV","Nevada"
"06","CA","California"
"08","CO","Colorado"
"35","NM","New Mexico"
"15","HI","Hawaii"
"30","MT","Montana"
"56","WY","Wyoming"
"04","AZ","Arizona"
"16","ID","Idaho"
"41","OR","Oregon"
"53","WA","Washington"
"49","UT","Utah"
